gamma	g3f	g3D	Nq1	gq1	dq1	Nq2	gq2	dq2	p_10	p_11	p_12	rep
0	0	0	0	0	0	0	0	0	0	1.56E-02	9.07E-03	253
0	0	0	0	0	0	0	0	0	0	1.52E-02	9.88E-03	254
0	0	0	0	0	0	0	0	0	0	1.60E-02	9.66E-03	255
0	0	0	0	0	0	0	0	0	0	1.54E-02	9.23E-03	256
0	0	0	0	0	0	0	0	0	0	2.12E-02	1.08E-02	257
0	0	0	0	0	0	0	0	0	0	1.76E-02	9.74E-03	258
0	0	0	0	0	0	0	0	0	0	1.18E-02	1.02E-02	259
0	0	0	0	0	0	0	0	0	0	1.82E-02	8.67E-03	260
0	0	0	0	0	0	0	0	0	0	1.79E-02	9.79E-03	261
0	0	0	0	0	0	0	0	0	0	1.88E-02	9.07E-03	262
0	0	0	0	0	0	0	0	0	0	1.60E-02	1.07E-02	263
0	0	0	0	0	0	0	0	0	0	1.54E-02	9.40E-03	264
0	0	0	0	0	0	0	0	0	0	1.66E-02	9.04E-03	265
0	0	0	0	0	0	0	0	0	0	1.50E-02	1.03E-02	266
0	0	0	0	0	0	0	0	0	0	1.36E-02	1.00E-02	267
0	0	0	0	0	0	0	0	0	0	1.79E-02	9.99E-03	268
0	0	0	0	0	0	0	0	0	0	1.59E-02	9.42E-03	269
0	0	0	0	0	0	0	0	0	0	1.37E-02	1.07E-02	270
0	0	0	0	0	0	0	0	0	0	1.39E-02	9.76E-03	271
0	0	0	0	0	0	0	0	0	0	1.79E-02	1.06E-02	272
0	0	0	0	0	0	0	0	0	0	1.46E-02	1.04E-02	273
0	0	0	0	0	0	0	0	0	0	1.77E-02	9.48E-03	274
0	0	0	0	0	0	0	0	0	0	1.51E-02	9.39E-03	275
0	0	0	0	0	0	0	0	0	0	1.53E-02	9.26E-03	276
0	0	0	0	0	0	0	0	0	0	1.47E-02	9.34E-03	277
0	0	0	0	0	0	0	0	0	0	1.45E-02	1.00E-02	278
0	0	0	0	0	0	0	0	0	0	1.45E-02	1.06E-02	279
0	0	0	0	0	0	0	0	0	0	1.89E-02	9.49E-03	280
0	0	0	0	0	0	0	0	0	0	1.68E-02	9.17E-03	281
0	0	0	0	0	0	0	0	0	0	1.97E-02	1.00E-02	282
0	0	0	0	0	0	0	0	0	0	1.63E-02	9.37E-03	283
0	0	0	0	0	0	0	0	0	0	1.80E-02	9.12E-03	284
0	0	0	0	0	0	0	0	0	0	1.78E-02	8.99E-03	285
0	0	0	0	0	0	0	0	0	0	1.78E-02	1.13E-02	286
0	0	0	0	0	0	0	0	0	0	1.74E-02	9.13E-03	287
0	0	0	0	0	0	0	0	0	0	1.48E-02	1.13E-02	288
0	0	0	0	0	0	0	0	0	0	1.77E-02	9.09E-03	289
0	0	0	0	0	0	0	0	0	0	1.68E-02	1.02E-02	290
0	0	0	0	0	0	0	0	0	0	1.60E-02	8.57E-03	291
0	0	0	0	0	0	0	0	0	0	1.60E-02	9.98E-03	292
0	0	0	0	0	0	0	0	0	0	1.45E-02	1.01E-02	293
0	0	0	0	0	0	0	0	0	0	1.76E-02	9.65E-03	294
0	0	0	0	0	0	0	0	0	0	1.45E-02	9.18E-03	295
0	0	0	0	0	0	0	0	0	0	1.29E-02	1.03E-02	296
0	0	0	0	0	0	0	0	0	0	1.51E-02	9.49E-03	297
0	0	0	0	0	0	0	0	0	0	1.97E-02	9.25E-03	298
0	0	0	0	0	0	0	0	0	0	1.63E-02	9.95E-03	299
0	0	0	0	0	0	0	0	0	0	1.63E-02	8.83E-03	300
